id,visitor_id,page,time_spent,start_time
1,,About OpenKAT,3.23741,2023-04-24 14:03:21.007696
2,,HomePage,7.99487,2023-04-24 14:03:24.275656
3,,About OpenKAT,4.35568,2023-04-24 14:03:32.286550
4,,Experiences,14.68661,2023-04-24 14:03:36.668565
5,,Contact,57.359886,2023-04-24 14:05:40.550283
6,,HomePage,15.464855,2023-04-24 14:06:37.918150
7,,About OpenKAT,17.356774,2023-04-24 14:06:53.391007
8,,HomePage,440.563597,2023-04-24 14:11:40.980431
9,,About OpenKAT,113.680487,2023-04-24 14:19:01.560046
10,,Experiences,8.208584,2023-05-08 09:40:20.046533
11,,About OpenKAT,148.580801,2023-05-08 09:45:14.096383
12,,About OpenKAT,4.653094,2023-05-15 11:15:08.674308
13,,Experiences,1.633529,2023-05-15 11:15:13.335403
